sensor_id_temperature,sensor_type_temperature,location_temperature,lat_temperature,lon_temperature,timestamp_temperature,value_type_temperature,value_temperature,timestamp_new,sensor_id_humidity,sensor_type_humidity,location_humidity,lat_humidity,lon_humidity,timestamp_humidity,value_type_humidity,value_humidity,sensor_id_P1,sensor_type_P1,location_P1,lat_P1,lon_P1,timestamp_P1,value_type_P1,value_P1,sensor_id_P2,sensor_type_P2,location_P2,lat_P2,lon_P2,timestamp_P2,value_type_P2,value_P2
145,DHT22,3528,-0.286,36.067,2023-02-04 05:58:56.944309+00:00,temperature,18,2023-02-04 05:58:56+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 05:58:56.944309+00:00,humidity,91,144,SDS011,3528,-0.286,36.067,2023-02-04 05:58:56.944311+00:00,P1,30.0,144,SDS011,3528,-0.286,36.067,2023-02-04 05:58:56.944311+00:00,P2,11.0
145,DHT22,3528,-0.286,36.067,2023-02-04 06:01:37.381724+00:00,temperature,19,2023-02-04 06:01:37+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 06:01:37.381724+00:00,humidity,91,144,SDS011,3528,-0.286,36.067,2023-02-04 06:01:37.381743+00:00,P1,18.0,144,SDS011,3528,-0.286,36.067,2023-02-04 06:01:37.381743+00:00,P2,9.0
145,DHT22,3528,-0.286,36.067,2023-02-04 06:04:17.403222+00:00,temperature,19,2023-02-04 06:04:17+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 06:04:17.403222+00:00,humidity,90,144,SDS011,3528,-0.286,36.067,2023-02-04 06:04:17.460168+00:00,P1,32.0,144,SDS011,3528,-0.286,36.067,2023-02-04 06:04:17.460168+00:00,P2,10.0
145,DHT22,3528,-0.286,36.067,2023-02-04 06:06:57.868318+00:00,temperature,19,2023-02-04 06:06:57+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 06:06:57.868318+00:00,humidity,91,144,SDS011,3528,-0.286,36.067,2023-02-04 06:06:57.868334+00:00,P1,14.0,144,SDS011,3528,-0.286,36.067,2023-02-04 06:06:57.868334+00:00,P2,11.0
145,DHT22,3528,-0.286,36.067,2023-02-04 06:09:38.362683+00:00,temperature,19,2023-02-04 06:09:38+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 06:09:38.362683+00:00,humidity,90,144,SDS011,3528,-0.286,36.067,2023-02-04 06:09:38.361867+00:00,P1,29.0,144,SDS011,3528,-0.286,36.067,2023-02-04 06:09:38.361867+00:00,P2,13.0
145,DHT22,3528,-0.286,36.067,2023-02-04 06:12:18.436048+00:00,temperature,19,2023-02-04 06:12:18+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 06:12:18.436048+00:00,humidity,89,144,SDS011,3528,-0.286,36.067,2023-02-04 06:12:18.438049+00:00,P1,20.0,144,SDS011,3528,-0.286,36.067,2023-02-04 06:12:18.438049+00:00,P2,11.0
145,DHT22,3528,-0.286,36.067,2023-02-04 06:14:58.286043+00:00,temperature,19,2023-02-04 06:14:58+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 06:14:58.286043+00:00,humidity,87,144,SDS011,3528,-0.286,36.067,2023-02-04 06:14:58.288202+00:00,P1,17.0,144,SDS011,3528,-0.286,36.067,2023-02-04 06:14:58.288202+00:00,P2,8.0
145,DHT22,3528,-0.286,36.067,2023-02-04 06:17:38.667875+00:00,temperature,19,2023-02-04 06:17:38+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 06:17:38.667875+00:00,humidity,86,144,SDS011,3528,-0.286,36.067,2023-02-04 06:17:38.667884+00:00,P1,13.0,144,SDS011,3528,-0.286,36.067,2023-02-04 06:17:38.667884+00:00,P2,10.0
145,DHT22,3528,-0.286,36.067,2023-02-04 06:20:19.227450+00:00,temperature,19,2023-02-04 06:20:19+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 06:20:19.227450+00:00,humidity,86,144,SDS011,3528,-0.286,36.067,2023-02-04 06:20:19.227524+00:00,P1,14.0,144,SDS011,3528,-0.286,36.067,2023-02-04 06:20:19.227524+00:00,P2,10.0
145,DHT22,3528,-0.286,36.067,2023-02-04 06:22:58.685758+00:00,temperature,20,2023-02-04 06:22:58+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 06:22:58.685758+00:00,humidity,84,144,SDS011,3528,-0.286,36.067,2023-02-04 06:22:58.687056+00:00,P1,26.0,144,SDS011,3528,-0.286,36.067,2023-02-04 06:22:58.687056+00:00,P2,8.0
